OBJECTID,GIS_KEY,SAP_KEY,NAME,LCTN,RVR,LU_OWNR,LU_OPRT,WTW,CPCT,CPCT_DS,WALL,CNST,LU_SYNC,SAP_OBJ_TYPE,SAP_DESCR,SAP_USR_STS,SAP_FLOC_OBJ_NMBR,FIN_KEY,MNT_AUTH,GlobalID,created_user,created_date,last_edited_user,last_edited_date,EDIT_DATE,SYNC_DATE,Shape_Length,Shape_Area
1,BZ2QM5A6,WWPTMD-83DM02,Woodhead,Table Mountain,Disa River,CoCT,OPERATIONAL,Kloof Nek WTW,954,,,1897,SAP Synced,ZW_W_W_DAM,,,IF00000000000000326228,,,{AB1E99EC-DB02-46C1-A358-B1CADD605D72},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,2022/06/11 16:10:01+00,1863.18557377269,142145.108724121
2,BV9LHP8C,WWPTMD-83DM01,Hely-Hutchinson,Table Mountain,Disa River,CoCT,OPERATIONAL,Kloof Nek WTW,925,,,1904,SAP Synced,ZW_W_W_DAM,,,IF00000000000000326227,,,{D08D7833-09CF-4108-B835-249E6F72FF8F},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,2022/06/11 16:10:01+00,2684.8533530829,246597.727647249
3,BW0VP0PT,WWPBLD-83DM04,Lewis Gay,Simonstown,Bokram Spruit River,CoCT,OPERATIONAL,Brooklands WTW,182,,,,SAP Synced,ZW_W_W_DAM,,,IF00000000000000323494,,,{5F553BB2-7F27-47D8-8231-AEB670876A2E},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,2022/06/11 16:10:01+00,1101.48805415868,47779.9578673628
4,BZR46VPA,WWPBLD-83DM02,Kleinplaats,Simonstown,Bokram Spruit River,CoCT,OPERATIONAL,Brooklands WTW,1368,,,,SAP Synced,ZW_W_W_DAM,,,IF00000000000000323492,,,{5CE748BC-3BC3-464F-8F9C-ADF28EB0A7F0},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,2022/06/11 16:10:01+00,4026.00260938847,391072.020349655
5,BI158P05,WWPTMD-83DM03,Victoria,Table Mountain,Original Disa Stream,CoCT,OPERATIONAL,Constantia Nek WTW,128,,,1895,SAP Synced,ZW_W_W_DAM,,,IF00000000000000326229,,,{86B1BFAD-ACEA-48A2-9360-2A6EED8A395A},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,2022/06/11 16:10:01+00,1369.07166492331,70321.7058570479
6,B74N739A,WWPTMD-83DM04,Alexandra,Table Mountain,Original Disa Stream,CoCT,OPERATIONAL,Constantia Nek WTW,126,,,1903,SAP Synced,ZW_W_W_DAM,,,IF00000000000000326230,,,{412794B9-9A95-459E-8196-5DA44F7A2338},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,2022/06/11 16:10:02+00,1085.43626913775,39025.771053476
7,B888CKQ9,WWPTMD-83DM05,De Villiers,Table Mountain,Original Disa Stream,CoCT,OPERATIONAL,Constantia Nek WTW,243,,,1910,SAP Synced,ZW_W_W_DAM,,,IF00000000000000326231,,,{9546FDCA-03FB-4D41-BB80-D1EFDBFF4E51},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,2022/06/11 16:10:02+00,1003.94188530237,44651.6864915227
8,BN6WSUX4,WWPSBD-83DM01,Steenbras Lower,Gordons Bay,Steenbras River,CoCT,OPERATIONAL,Streenbras WTW,33517,,37,1921,SAP Synced,ZW_W_W_DAM,,,IF00000000000009163106,,,{1AD47AE5-7781-4EED-8CF3-5B73EA4A66A6},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,2022/06/11 16:10:02+00,23790.6726192379,5379095.36884272
9,BUZI66A5,WWPSBD-83DM02,Steenbras Upper,Gordons Bay,Steenbras River,CoCT,OPERATIONAL,Faure WTW,31767,29267,37,1977,SAP Synced,ZW_W_W_DAM,,,IF00000000000009163107,,,{9A4ECD63-1028-47B8-9B66-EC64497E38A9},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,2022/06/11 16:10:03+00,17008.6081004898,3886254.56054362
10,BRFY9D3X,,Voëlvlei,Gouda,"Klein Berg, Leeu & 24 Rivers",DWA,OPERATIONAL,Voëlvlei WTW,164122,156022,10,1971,No - Private,,,,,,,{FB08C2F7-34E6-422F-BD4F-9D12463B3EFA},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,,24684.6929173275,21517165.1344473
11,BC80C6CB,WWPWHD,Wemmershoek,Franschhoek,Wemmers River,CoCT,OPERATIONAL,Wemmershoek WTW,58644,58544,53,1957,No - Not ready to sync,,,,,,,{F13A41A1-3BC0-458F-8231-852189CA9837},LDR,2023/07/30 20:00:05+00,LDR,2023/07/30 20:00:05+00,,,14414.5497185777,4365135.7698073
